나레이션,"(ODE-22 검문소가 서서히 시야에 들어오자, 조수석에 앉아 있던 레나가 한시름 놓은 듯 등받이에 몸을 기댄다.)"
레나,"후— 드디어 다 왔네……|리바 언니, 저 무장 기계들은 이제 우릴 못 쫓아오겠지?"
리바,"그래, 치안관리부서에 걸리면 저쪽도 골치 아플 테니까."
소프,안 싸워? 난 아직 제대로 못 놀았는데!
나레이션,(뒷좌석에 있던 소프가 몸을 일으켜 트렁크 안 전리품을 둘러본다.)
로벨라,검문소를 통과하기 위한 식별 코드는 준비됐어.
리바,"수고했어~ 검문소만 무사히 통과하면, 우린 아마 안전해질 거야."
나레이션,"(지프차가 안정적으로 ODE-22 시내에 진입했지만, 차량 정체에 갇혔다.)"
레나,리바 언니 말대로네~ 검문소를 지나고 나니 훨씬 수월해졌어. 이제 바로 경전철역으로 갈까?
리바,"응, 로벨라가 식별 코드를 손봐뒀다고 해도, 그래도 우린 이미 위성도시 감시장치 범위에 들어왔어. 저쪽은 교외 도로에서도 가끔 우릴 포착했잖아. 우리가 ODE-22로 들어온 걸 알아차리기는 어렵지 않을 거야. 서둘러 움직이자."
레나,네!
로벨라,"내비게이션상으론 앞으로 30분이면 목표 지점에 도착하는데…|지금 도로 상황이 안 좋아서, 남은 시간은 1.5배로 잡아야 해."
리바,"알았어. 소프, 네 전투 능력이 강하니까, 조금 있다가 도착해서 충돌이 생기면 너랑 레나가 화력 지원을 맡아. 난 전자전을 이용해 지원하고, 로벨라는 해당 보관함을 찾는 걸 맡아줘."
리바,"만약 우리가 잘못 짚었다면, 바로 철수할 거야."
소프,네!
로벨라,응.
레나,"음, 근데 갑자기 왜 이렇게 막히지……|지금 러시아워도 아닐 텐데."
나레이션,"(레나가 창문 밖으로 고개를 내밀고, 앞쪽 차들을 살펴본다.)"
레나,사고라도 난 건가…… 음…… 그런 것 같지는 않은데……|어? 저건 뭐지……
나레이션,(무언가를 확인한 레나는 화들짝 놀라며 몸을 거둔다.)
레나,"리, 리바 언니! 앞쪽에 치안 순찰 기계들이 차들을 잔뜩 막고 있어!|어떤 것들은 일일이 검문까지 하는 것 같아!"
리바,정기 도로 검문…?|아무리 봐도 타이밍이 너무 딱 맞는데.
로벨라,"어쩌지? 지금 차가 다 몰려 있어서,|이제 돌아나갈 수도 없어."
소프,그러니까 드디어 정부 측 기계랑 한판 붙을 기회가 온 거네?
리바,일단 티 내지 말고 검사를 받으면서 상황 봐서 움직이자.
나레이션,"(지프차가 차들을 따라 천천히 이동하다가, 마침내 치안 순찰 기계의 지시에 따라 차를 멈춘다.)"
나레이션,"(소형 치안 기계 한 대가 창문 옆으로 다가와, 초록 신호등을 깜빡이는 카메라로 차 안 인형들을 하나씩 스캔한다.)"
레나,"리바 언니, 쟤 지금 뭐 하는 거야……?"
리바,"아마 신원 확인 검사야. 우린 위성도시에 사는 인간처럼 식별 칩이 있는 게 아니니까, 시스템이 정부 데이터베이스에서 우리 고유 식별 코드를 찾아보고 있는 거지."
나레이션,(카-카-)
나레이션,"(치안 기계 카메라가 간헐적으로 회전하며, 검사 시간이 이미 보통 때보다 길어졌다.)"
나레이션,"(리바가 슬며시 손짓하고, 인형들은 티 내지 않고 각자 권총을 꽉 쥔다.)"
로벨라,......
나레이션,"(역시나, 초록 신호등이 빨간색으로 바뀌고, 치안 기계가 귀를 찢는 듯한 사이렌을 울린다.)"
나레이션,"(주변 다른 기계들도 전투 모드로 전환하며, 정체된 차량들을 재빨리 돌아 리바 일행을 포위한다.)"
리바,전원 차 버려!|싸움에 매달리지 말고 포위를 뚫어!
